YEAR,ZIP Code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
2019,60613,1370,1570,1820,2320,2770
2019,60614,1370,1570,1820,2320,2770
2019,60615,1060,1210,1410,1790,2140
2019,60616,870,990,1150,1460,1750
2019,60617,720,820,950,1210,1450
2019,60618,960,1090,1270,1620,1930
2019,60619,820,940,1090,1390,1660
2019,60620,820,930,1080,1370,1640
2019,60621,750,850,990,1260,1510
2019,60622,1100,1260,1460,1860,2220
2019,60623,680,780,900,1150,1370
2019,60624,800,910,1060,1350,1610
2019,60625,990,1130,1310,1670,1990
2019,60626,1030,1180,1370,1740,2080
2019,60628,790,900,1050,1340,1600
2019,60629,780,890,1030,1310,1570
2019,60630,930,1060,1230,1570,1870
2019,60631,970,1100,1280,1630,1950
2019,60632,720,830,960,1220,1460
2019,60633,780,890,1030,1310,1570
2019,60634,890,1020,1180,1500,1800
2019,60636,760,870,1010,1290,1540
2019,60637,840,960,1110,1410,1690
2019,60638,820,940,1090,1390,1660
2019,60639,830,950,1100,1400,1670
2019,60640,1120,1270,1480,1880,2250
2019,60641,880,1000,1160,1480,1760
2019,60642,1180,1340,1560,1990,2370
2019,60643,820,940,1090,1390,1660
2019,60644,830,950,1100,1400,1670
2019,60645,980,1120,1300,1650,1980
2019,60646,800,910,1060,1350,1610
2019,60647,970,1100,1280,1630,1950
2019,60649,840,960,1110,1410,1690
2019,60651,810,920,1070,1360,1630
2019,60652,890,1020,1180,1500,1800
2019,60653,800,910,1060,1350,1610
2019,60654,1370,1570,1820,2320,2770
2019,60655,910,1040,1210,1540,1840
2019,60656,920,1050,1220,1550,1860
2019,60657,1370,1570,1820,2320,2770
2019,60659,970,1100,1280,1630,1950
2019,60660,1150,1310,1520,1930,2310
2019,60661,1370,1570,1820,2320,2770
2019,60666,890,1020,1180,1500,1800
2019,60681,890,1020,1180,1500,1800
2019,60690,890,1020,1180,1500,1800
2019,60694,890,1020,1180,1500,1800
2019,60706,860,980,1140,1450,1730
2019,60707,880,1010,1170,1490,1780
2019,60712,1370,1570,1820,2320,2770
2019,60714,880,1000,1160,1480,1760
2019,60803,810,920,1070,1360,1630
2019,60804,770,880,1020,1300,1550
2019,60805,840,960,1110,1410,1690
2019,60827,750,850,990,1260,1510
2014,60004,870,990,1170,1490,1740
2014,60005,790,890,1060,1350,1580
2014,60006,730,830,980,1250,1460
2014,60007,760,870,1030,1310,1530
2014,60008,820,940,1110,1420,1650
2014,60009,730,830,980,1250,1460
2014,60010,1070,1210,1440,1840,2140
2014,60011,730,830,980,1250,1460
2014,60016,760,860,1020,1300,1520
2014,60017,730,830,980,1250,1460
2014,60018,650,730,870,1110,1290
2014,60022,980,1110,1320,1680,1960
2014,60025,820,940,1110,1420,1650
2014,60026,970,1100,1300,1660,1930
2014,60029,730,830,980,1250,1460
2014,60043,730,830,980,1250,1460
2014,60053,850,960,1140,1450,1690
2014,60056,720,820,970,1240,1440
2014,60062,920,1050,1240,1580,1840
2014,60065,730,830,980,1250,1460
2014,60067,860,980,1160,1480,1720
2014,60068,890,1010,1200,1530,1780
2014,60070,760,860,1020,1300,1520
2014,60074,770,880,1040,1330,1550
2014,60076,880,1000,1180,1500,1750
2014,60077,810,920,1090,1390,1620
2014,60078,730,830,980,1250,1460
2014,60089,970,1100,1310,1670,1950
2014,60090,790,890,1060,1350,1580
2014,60091,1090,1240,1470,1870,2180
2014,60093,1050,1200,1420,1810,2110
2014,60103,910,1040,1230,1570,1830
2014,60104,720,820,970,1240,1440
2014,60107,1090,1240,1470,1870,2180
2014,60120,730,830,980,1250,1460
2014,60130,710,800,950,1210,1410
2014,60131,620,700,830,1060,1230
2014,60133,770,880,1040,1330,1550
2014,60141,730,830,980,1250,1460
2014,60153,730,830,980,1250,1460
2014,60154,980,1110,1320,1680,1960
2014,60155,620,700,830,1060,1230
2014,60159,730,830,980,1250,1460
2014,60160,650,730,870,1110,1290
2014,60161,730,830,980,1250,1460
2014,60162,630,720,850,1080,1260
2014,60163,750,850,1010,1290,1500
2014,60164,620,710,840,1070,1250
2014,60165,690,780,930,1190,1380
